Year,Receptor,Species,Methods,Raw_Text_Methods,Brain_Regions,Topic_Spec
2000,5ht2c;5ht2;5ht2b;5ht2a;5ht2a;5ht2c;5ht2a;5ht2b,,,,,(23 u'\\bantipsychotic'),
2004,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.AGONIST,(15 u'\\b8ohdpat');(51 u'\\bway100635');(13 u'\\bagonist'),,(3 u'\\bclinical');(5 u'\\btherap');(4 u'\\btreatment'),
2003,5ht2a;5ht2,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(41 u'\\bhaloperidol');(5 u'\\bmk801');(9 u'\\britanserin');(23 u'\\bmdl');(12 u'\\bantagonist'),,(33 u'\\blocomot');(29 u'\\bhyperactiv'),
2018,5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b');(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.STAINING;Method.IMMUNOHISTOCHEMISTRY;Method.ANTAGONIST,(51 u'\\bway100635');(12 u'\\bantagonist'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(26 u'\\bbehav');(9 u'\\bstress');(7 u'\\bdepressi');(13 u'\\bantidepress');(33 u'\\blocomot');(25 u'\\bsocial'),
2009,5ht1a;5ht2,(2 u'(?i)\\b(females|female)\\b');(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),,,(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(4 u'\\btreatment'),
2013,5ht1;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(3 u'\\bimmunoreactiv');(13 u'\\bagonist'),(14 u'(?i)\\b(caudals|caudal)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b'),(15 u'\\bmemory');(4 u'\\btreatment');(26 u'\\bbehav');(2 u'\\bdisorder');(8 u'\\banxi');(25 u'\\bsocial'),
1998,5ht4;5ht1b;5ht1a;5ht4;5ht4;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.STIMULATION,(15 u'\\b8ohdpat');(51 u'\\bway100635');(54 u'\\bautoradiography'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b'),,
2006,5ht1b;5ht1b;5ht1b;5ht7;5ht1b;5ht1b;5ht1,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(11 u'\\bfluoxetine');(13 u'\\bagonist');(12 u'\\bantagonist'),,(5 u'\\btherap');(26 u'\\bbehav');(7 u'\\bdepressi');(2 u'\\bdisorder');(8 u'\\banxi');(13 u'\\bantidepress');(24 u'\\banxiolytic');(4 u'\\btreatment'),
1989,5ht1;5ht1,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,,
2019,5ht3;5ht3;5ht3;5ht3b;5ht3b;5ht3;5ht3;5ht3;5ht3;5ht3b;5ht3;5ht3b;5ht3;5ht3;5ht3;5ht3;5ht3b;5ht3a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(3 u'\\bimmunoreactiv');(13 u'\\bagonist'),,,
